full_name_ingredient,name_ingredient_ru,format_ingredient_ru,category_ru,ingredient_format_cat,calories_kcal,moisture_per,protein_per,carbohydrate_per,fats_per,ash_g,fiber_g,cholesterol_mg,total_sugar_g,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,zinc_mg,manganese_mg,selenium_mcg,iodine_mcg,choline_mg,vitamin_a_mcg,vitamin_e_mg,vitamin_d_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_k_mcg,alpha_carotene_mcg,beta_carotene_mcg,beta_cryptoxanthin_mcg,lutein_zeaxanthin_mcg,lycopene_mcg,retinol_mcg,linoleic_acid_g,alpha_linolenic_acid_g,arachidonic_acid_g,epa_g,dha_g
"BEANS,SNAP,GREEN,RAW",Фасоль,"Зелёная Стручковая Фасоль,",Овощи и фрукты,"Фасоль — Зелёная Стручковая Фасоль,",31.0,90.27,1.82,7.13,0.12,0.66,3.400000095,0.0,1.399999976,37.0,38.0,25.0,6.0,209.0,1.04,0.069,0.24,0.214,0.6,1.0,15.0,35.0,0.41,0.0,0.084,0.105,0.752,0.094,0.074,0.0,0.0,16.3,14.4,69.0,379.0,0.0,640.0,0.0,0.0,0.044,0.069,0.0,0.0,0.0
"BEETS,RAW",Свёкла,Обыкновенный,Овощи и фрукты,Свёкла — Обыкновенный,43.0,87.58,1.61,9.56,0.17,1.08,2.799999952,0.0,6.760000229,16.0,40.0,23.0,78.0,325.0,0.8,0.075,0.35,0.329,0.7,0.5,6.0,2.0,0.04,0.0,0.031,0.04,0.334,0.155,0.067,0.0,0.0,4.9,0.2,0.0,20.0,0.0,0.0,0.0,0.0,0.055,0.005,0.0,0.0,0.0
"BROCCOLI,RAW",Капуста,Брокколи,Овощи и фрукты,Капуста — Брокколи,34.0,89.3,2.82,6.64,0.37,0.87,2.599999905,0.0,1.700000048,47.0,66.0,21.0,33.0,316.0,0.73,0.049,0.41,0.21,2.5,0.6,19.0,31.0,0.78,0.0,0.071,0.117,0.639,0.573,0.175,0.0,0.0,89.2,101.6,25.0,361.0,1.0,1403.0,0.0,0.0,0.049,0.063,0.0,0.0,0.0
"BRUSSELS SPROUTS,RAW",Капуста,Брюссельская,Овощи и фрукты,Капуста — Брюссельская,43.0,86.0,3.38,8.95,0.3,1.37,3.799999952,0.0,2.200000048,42.0,69.0,23.0,25.0,389.0,1.4,0.07,0.42,0.337,1.6,0.0,19.0,38.0,0.88,0.0,0.139,0.09,0.745,0.309,0.219,0.0,0.0,85.0,177.0,6.0,450.0,0.0,1590.0,0.0,0.0,0.045,0.099,0.001,0.0,0.0
"CABBAGE,RAW",Капуста,Белокочанная,Овощи и фрукты,Капуста — Белокочанная,25.0,92.18,1.28,5.8,0.1,0.64,2.5,0.0,3.200000048,40.0,26.0,12.0,18.0,170.0,0.47,0.019,0.18,0.16,0.3,0.75,11.0,5.0,0.15,0.0,0.061,0.04,0.234,0.212,0.124,0.0,0.0,36.6,76.0,33.0,42.0,0.0,30.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0
"CABBAGE,RED,RAW",Капуста,Краснокочанная,Овощи и фрукты,Капуста — Краснокочанная,31.0,90.39,1.43,7.37,0.16,0.64,2.099999905,0.0,3.829999924,45.0,30.0,16.0,27.0,243.0,0.8,0.017,0.22,0.243,0.6,0.0,17.0,56.0,0.11,0.0,0.064,0.069,0.418,0.147,0.209,0.0,0.0,57.0,38.2,0.0,670.0,0.0,329.0,20.0,0.0,0.034,0.045,0.001,0.0,0.0
"CARROTS,RAW",Морковь,Обыкновенный,Овощи и фрукты,Морковь — Обыкновенный,41.0,88.29,0.93,9.58,0.24,0.97,2.799999952,0.0,4.739999771,33.0,35.0,12.0,69.0,320.0,0.3,0.045,0.24,0.143,0.1,1.8,9.0,835.0,0.66,0.0,0.066,0.058,0.983,0.273,0.138,0.0,0.0,5.9,13.2,3477.0,8285.0,0.0,256.0,1.0,0.0,0.1,0.002,0.0,0.0,0.0
"CAULIFLOWER,RAW",Капуста,Цветная,Овощи и фрукты,Капуста — Цветная,25.0,91.91,1.98,5.3,0.1,0.71,2.5,0.0,2.400000095,22.0,44.0,15.0,30.0,303.0,0.44,0.042,0.28,0.156,0.6,0.5,45.0,1.0,0.08,0.0,0.057,0.063,0.526,0.652,0.222,0.0,0.0,46.4,16.0,0.0,8.0,0.0,33.0,0.0,0.0,0.016,0.015,0.0,0.0,0.0
"CORN,SWEET,YELLOW,RAW",Кукуруза,Обыкновенный,Крупы,Кукуруза — Обыкновенный,86.0,75.96,3.22,19.02,1.18,0.62,2.700000048,0.0,3.220000029,2.0,89.0,37.0,15.0,270.0,0.52,0.054,0.45,0.161,0.6,0.5,23.0,9.0,0.07,0.0,0.2,0.06,1.7,0.76,0.055,0.0,0.0,6.8,0.3,16.0,47.0,115.0,644.0,0.0,0.0,0.472,0.014,0.001,0.0,0.0
"CUCUMBER,WITH PEEL,RAW",Огурец,Обыкновенный,Овощи и фрукты,Огурец — Обыкновенный,15.0,95.23,0.65,3.63,0.11,0.38,0.5,0.0,1.669999957,16.0,24.0,13.0,2.0,147.0,0.28,0.041,0.2,0.079,0.3,0.5,6.0,5.0,0.03,0.0,0.027,0.033,0.098,0.259,0.04,0.0,0.0,2.8,16.4,11.0,45.0,26.0,23.0,0.0,0.0,0.028,0.005,0.0,0.0,0.0
"PARSLEY,RAW",Петрушка,Обыкновенный,Зелень и специи,Петрушка — Обыкновенный,36.0,87.71,2.97,6.33,0.79,2.2,3.299999952,0.0,0.850000024,138.0,58.0,50.0,56.0,554.0,6.2,0.149,1.07,0.16,0.1,0.0,13.0,421.0,0.75,0.0,0.086,0.098,1.313,0.4,0.09,0.0,0.0,133.0,1640.0,0.0,5054.0,0.0,5561.0,0.0,0.0,0.115,0.008,0.0,0.0,0.0
